fecha,mes,anio,linea,estacion,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2026-01-01,Enero,2026,Linea 1,PantitlÃ¡n,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,PantitlÃ¡n,Prepago,9012,2026-01,2026
2026-01-01,Enero,2026,Linea 1,PantitlÃ¡n,Gratuidad,1548,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Zaragoza,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Zaragoza,Prepago,5855,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Zaragoza,Gratuidad,1361,2026-01,2026
2026-01-01,Enero,2026,Linea 1,GÃ³mez Farias,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,GÃ³mez Farias,Prepago,6361,2026-01,2026
2026-01-01,Enero,2026,Linea 1,GÃ³mez Farias,Gratuidad,1435,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Boulevard Puerto AÃ©reo,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Boulevard Puerto AÃ©reo,Prepago,6140,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Boulevard Puerto AÃ©reo,Gratuidad,1524,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Balbuena,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Balbuena,Prepago,1722,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Balbuena,Gratuidad,187,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Moctezuma,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Moctezuma,Prepago,3643,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Moctezuma,Gratuidad,1090,2026-01,2026
2026-01-01,Enero,2026,Linea 1,San LÃ¡zaro,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,San LÃ¡zaro,Prepago,8059,2026-01,2026
2026-01-01,Enero,2026,Linea 1,San LÃ¡zaro,Gratuidad,1442,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Candelaria,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Candelaria,Prepago,4021,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Candelaria,Gratuidad,1011,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Merced,Boleto,0,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Merced,Prepago,5214,2026-01,2026
2026-01-01,Enero,2026,Linea 1,Merced,Gratuidad,1807,2026-01,2026
